star_rating,review_text,clean_text,vader_compound,vader_label,textblob_polarity,textblob_label,silver_label
1,"I am a big fan of the Amy's products and the soups that I have tried have been great.  I wanted to try something new and I came across this one at the store several times before finally purchasing it.  I liked the looks of the ingredients and it being a complete protien I was sure it would be a winner. YUCK!!!  Not only was it gummy but the flavor was just terrible.  I cant even put my finger on what it was but it was very unpleasant.  So I actually found a soup that was terrible, so sorry Amy but you need to change this recipe or put 100 bucks in each can for me to buy it again.<br /><br />Great soups that I have tried by Amy's<br />Lentil<br />Lenitl vegetable<br />Curried Lentil<br />Black bean<br />Southwestern vegetable",big fan amy products soups tried great wanted try something new came across one store several times finally purchasing liked looks ingredients complete protien sure would winner yuck gummy flavor terrible cant even put finger unpleasant actually found soup terrible sorry amy need change recipe put bucks buy great soups tried amy lentil lenitl vegetable curried lentil black bean southwestern vegetable,-0.4727,negative,-0.052290990259740225,negative,negative
5,"Quality chocolate with a just a hint of spice. If you're looking for a super spicy treat, you'll be disappointed. It's a chocolate bar not hot sauce.<br /><br />As always, Lindt does an excellent job of blending it's high quality chocolate with the subtle spice of chili peppers. Highly recommended for the chocolate connoisseur.",quality chocolate hint spice looking super spicy treat disappointed chocolate bar hot sauce always lindt excellent job blending high quality chocolate subtle spice chili peppers highly recommended chocolate connoisseur,0.8516,positive,0.06357142857142857,positive,positive
1,I did not know anything about chutney until I went on a known recipe cite and found out that they mix the fruit with peppers and vinegar! I thought chutney was a different form of Marmalade but I was wrong!,know anything chutney went known recipe cite found mix fruit peppers vinegar thought chutney different form marmalade wrong,-0.6941,negative,-0.3125,negative,negative
5,I craved Ramen during my pregnancy and this is a tasty AND healthy alternative to Top Ramen. I highly recommend this soup!,craved ramen pregnancy tasty healthy alternative top ramen highly recommend soup,0.7639,positive,0.39999999999999997,positive,positive
5,I live in Alaska and prices are very exspensive I saved alot money ordering this product and will be ordering again soon.,live alaska prices exspensive saved alot money ordering product ordering soon,0.4703,positive,0.16818181818181818,positive,positive
1,Clover honey with lavender flavor injected.  Not what I wanted.  I was disappointed.  This is not lavender honey.,clover honey lavender flavor injected wanted disappointed lavender honey,-0.4767,negative,-0.75,negative,negative
1,"I normally have no problem enjoying sugar free syrups, but this stuff is truly awful.  It's not sweet, and doesn't have even the slightest hint of maple flavor.",normally problem enjoying sugar free syrups stuff truly awful sweet even slightest hint maple flavor,-0.3567,negative,-0.024999999999999988,abstain,negative
4,"I am really pleased with these bars.  Too often, in my experience, Gluten-Free bars are either cardboard-like or have odd tastes.  Not so with these.  They are rich and the flavors are really nice. It's almost like eating a candy bar. They arent' huge bars, but they are quite satisfying.<br /><br />The reason I gave it 4 instead of 5 stars is that they are a bit high in calories for the size - 180 with 9g of fat.  So it's not a 100-calorie snack bar.  They do, however, provide 4% of daily iron, which is a nice plus with a snack bar.",really pleased bars often experience gluten free bars either cardboard like odd tastes rich flavors really nice almost like eating candy bar arent huge bars quite satisfying reason gave instead stars bit high calories size g fat calorie snack bar however provide daily iron nice plus snack bar,0.8232,positive,0.30854166666666666,positive,positive
5,"I was surprised how GOOD this tastes! I had previously had maple syrup that tasted much stronger -- the flavor of this syrup is about as strong as your usual grocery-store pancake syrup, except that it's a much finer and better flavor. I could eat this stuff every day, it's just delicious!",surprised good tastes previously maple syrup tasted much stronger flavor syrup strong usual grocery store pancake syrup except much finer better flavor could eat stuff every day delicious,0.956,positive,0.3212962962962963,positive,positive
1,"I am growing more and more interested in Asian food. I am almost a regular at some nearby Chinese and Japanese restaurants (unlimited snow crab legs during the weekends, yum!), and I also enjoy Nongshim noodles, especially when I am getting creative and add extras.<br />That's why I ordered this set of teriyaki chow mein. It was the first time I tried Annie Chun brand.<br />Well, what's to be said? First, the noodles looked just OK, kind of like spaghettis. Of course I can get better Mexican fideos for less, but nevermind, I thought it is worth a try. The sauce was weird looking, but the bad part was when I tasted the combination. Ugh! It tastes awful, and I believe it caused me a stomach ache that lasted until next day. I almost went to the doctor.<br /><br />I am not saying it is bad for you, but for me, with an European stomach, so much abused by the American processed food, this ""Asian"" processed food was too much. I guess you could be fine with an Asian stomach. Can someone borrow me one for the rest of the pack or should I toss it?",growing interested asian food almost regular nearby chinese japanese restaurants unlimited snow crab legs weekends yum also enjoy nongshim noodles especially getting creative add extras ordered set teriyaki chow mein first time tried annie chun brand well said first noodles looked ok kind like spaghettis course get better mexican fideos less nevermind thought worth try sauce weird looking bad part tasted combination ugh tastes awful believe caused stomach ache lasted next day almost went doctor saying bad european stomach much abused american processed food asian processed food much guess could fine asian stomach someone borrow one rest pack toss,-0.96,negative,0.07083333333333332,positive,negative
4,"these cookies are delicious, and in these individual packs, they seem to hold together better...when you purchase them in the boxes, they come in crumbles",cookies delicious individual packs seem hold together better purchase boxes come crumbles,0.5719,positive,0.5,positive,positive
5,"My 16lb. dog is a thorough but picky chewer.  She loves to chew but is very selective about what she will chew on.  She loves Nylabones.  Despite her small size she's powerful and will chew them until the ends are gone if allowed.  These are, by far, her favorite toy.",lb dog thorough picky chewer loves chew selective chew loves nylabones despite small size powerful chew ends gone allowed far favorite toy,0.9628,positive,0.16999999999999998,positive,positive
1,The package I received was torn. Only 9 were left. they did not taste fresh at all compared with the ones I got directly from Japan. It really dissapointed me.,package received torn left taste fresh compared ones got directly japan really dissapointed,-0.4519,negative,0.12000000000000002,positive,negative
5,"Living in an apartment right now, counter space is significantly limited. The small counter my wife and I have our Keurig on does not have much space at all to spare. This did the trick perfectly. Likely the most sturdy, space-saving k-cup pod holder you're going to find - not to mention one of the most affordable out there. Great buy, great product, fantastic price! The medal ""piping"" and wire mesh are all sturdy and does not seem cheap or brittle in the least.<br /><br />My ONLY complaint is completely insignificant and not worthy of deducing a star. At certain times the drawers tend to stick a little bit making me lightly shake the drawer a little bit in order for it to slide out. It's a completely minor thing; happens only occasionally, and definitely does not take away from the product itself, or its fantastic value!",living apartment right counter space significantly limited small counter wife keurig much space spare trick perfectly likely sturdy space saving k cup pod holder going find mention one affordable great buy great product fantastic price medal piping wire mesh sturdy seem cheap brittle least complaint completely insignificant worthy deducing star certain times drawers tend stick little bit making lightly shake drawer little bit order slide completely minor thing happens occasionally definitely take away product fantastic value,0.9687,positive,0.16612103174603177,positive,positive
1,"Compare to Teavana white earl grey it is ZERO vs 10. Very disappointed. Also, i didn't know i cannot return it. Now I'm stuck with lots of expensive tea that has no flavor...",compare teavana white earl grey zero vs disappointed also know cannot return stuck lots expensive tea flavor,-0.7501,negative,-0.38125000000000003,negative,negative
1,"I finally gave in and bought these expensive chews because the others we have used only last a few minutes. The package claims to provide ""hours of entertainment"" for your pet. What a ripoff! They didn't mention you would have to buy a case of these things and feed your dog a big meal of bull hide for it to last hours. I have a seventy-pound mixed breed dog, Roscoe, who is four years old. He doesn't chew for entertainment like a puppy would, but when it comes to eating, he is a real chewer. The kibble he eats is the size of puppy kibble and he thoroughly chews every bite. Well, I just gave Roscoe a bully spring and it was thoroughly chewed and eaten in under ten minutes. My seven month old puppy isn't quite as fast as him, but she too can put one away in minutes. The pig skin rolls at the supermarket last longer, and they aren't advertised and priced in a way that victimizes customers.",finally gave bought expensive chews others used last minutes package claims provide hours entertainment pet ripoff mention would buy case things feed dog big meal bull hide last hours seventy pound mixed breed dog roscoe four years old chew entertainment like puppy would comes eating real chewer kibble eats size puppy kibble thoroughly chews every bite well gave roscoe bully spring thoroughly chewed eaten ten minutes seven month old puppy quite fast put one away minutes pig skin rolls supermarket last longer advertised priced way victimizes customers,-0.6765,negative,-0.010714285714285713,abstain,negative
1,the tea buscuits expired in june 2009. they are stale. the absolute never trust these people. they will not let you return the product or replace with ones that havnt expired.  do not ever do business with this person or company,tea buscuits expired june stale absolute never trust people let return product replace ones havnt expired ever business person company,-0.4023,negative,-0.15,negative,negative
5,Have ordered many times- Can't get product in Kansas<br /><br />Fast delivery and always correct quanity etc.<br /><br />I am going to order again because the whole family enjoys this sauce,ordered many times get product kansas fast delivery always correct quanity etc going order whole family enjoys sauce,0.5106,positive,0.35,positive,positive
1,"The mix tasted terrible, no matter how much tequila and lime juice used. Yo are better off to purchase the liquid mix. I will not purchase again & do not recommend.",mix tasted terrible matter much tequila lime juice used yo better purchase liquid mix purchase recommend,-0.3365,negative,-0.10000000000000002,negative,negative
1,"Not only were they bad tasting when I got them, they WENT bad while storing in my dark, cool pantry. AND these were half the price when I got them 5 months ago...",bad tasting got went bad storing dark cool pantry half price got months ago,-0.6908,negative,-0.22777777777777775,negative,negative
1,"This is the first K-cup and Tea product from Twinings that no one enjoyed in our family. If I could have returned it, I would have after the first cup, but this item is not returnable.",first k cup tea product twinings one enjoyed family could returned would first cup item returnable,-0.3508,negative,0.3333333333333333,positive,negative
1,This is a waste of money & the machine is a waste of money.  I got all this as a gift.  If the makers weren't ripoff artists they would have made  it easy to put your own coffee in...like Keurig did.  This product is just a lot of marketing hype.  Not even remotely worth the money.,waste money machine waste money got gift makers ripoff artists would made easy put coffee like keurig product lot marketing hype even remotely worth money,-0.1195,negative,0.18666666666666668,positive,negative
1,"I ordered the filets and was disappointed especially for the prices. They were not trimmed the way they should be, again for the price. They had this silver stuff around them. Yuk!",ordered filets disappointed especially prices trimmed way price silver stuff around yuk,-0.5255,negative,-0.375,negative,negative
1,Why would anyone pay 59.99 for a case of 24 when u can buy them at your local Walmart for .99 a piece and it is the same size and ounces??,would anyone pay case u buy local walmart piece size ounces,-0.1926,negative,0.0,abstain,negative
